"","pmid","from","to"
"3441","27416985","-2531875720891133112","-1135098093351933725"
"3442","27416985","8596115707704972239","-1135098093351933725"
"3443","27416985","8596115707704972239","-1135098093351933725"
"3444","27416985","1404933902319492121","-1135098093351933725"
"3445","27416985","-4136293945453318069","-1135098093351933725"
"3446","27416985","4496191920649739347","-1135098093351933725"
"3447","27416985","7074361249633013650","-1135098093351933725"
"3448","27416985","8556962049153109223","-1135098093351933725"
"3449","27416985","-1690422511955589955","-1135098093351933725"
"3450","27416985","-3212785207850349084","-1135098093351933725"
"3451","27416985","1037369510078157027","-1135098093351933725"
"3452","27416985","3934887264873752867","-1135098093351933725"
"3453","27416985","-1051670365943237645","-1768652038431118668"
"3454","27416985","3709813188814751795","-1768652038431118668"
"3455","27416985","8596115707704972239","-1768652038431118668"
"3456","27416985","1404933902319492121","6694974120603701742"
"3457","27416985","-1051670365943237645","6694974120603701742"
"3458","27416985","8596115707704972239","6694974120603701742"
"3459","27416985","-3212785207850349084","6694974120603701742"
"3460","27416985","3934887264873752867","6694974120603701742"
"3461","27416985","-4475332471115026051","-6457859943045763490"
"3462","27416985","-6912052022144370498","-6457859943045763490"
"3463","27416985","-7545347992112963689","-6457859943045763490"
"3464","27416985","-3212785207850349084","-6457859943045763490"
"3465","27416985","3934887264873752867","-6457859943045763490"
"3466","27416985","-1014147375867388215","5114260405020229332"
"3467","27416985","-9120418093314084977","-7363433300282806446"
"3468","27416985","-3212785207850349084","-7363433300282806446"
"3469","27416985","8596115707704972239","-7363433300282806446"
"3470","27416985","-3409492502835059163","-7363433300282806446"
"3592","27438151","-4896417099078399246","-8078906316963467613"
"3593","27438151","-6235323789280108473","-8078906316963467613"
"3635","27443263","-2531875720891133112","4260088234180070159"
"3636","27443263","-754510669143280296","2807196440767786265"
"3637","27443263","4496191920649739347","2807196440767786265"
"3638","27443263","-7545347992112963689","-421845112043871739"
"3690","27451977","-6781003235278958016","-9179023582015518733"
"3698","27455414","-5669232169622284655","-543863456868583260"
"3699","27455414","5039342224281592929","7149879460834313682"
"3700","27455414","5039342224281592929","-5690111541569597548"
"3904","27471865","-7772300956773572321","-7071370157030818447"
"3905","27471865","-7583712953390133126","-1014302130875281495"
"3906","27471865","-9053976342694625635","-1014302130875281495"
"3907","27471865","-8015618763951062393","7794865502103230919"
"3908","27471865","3292602537680048575","7794865502103230919"
"3909","27471865","-7494356804684252412","7794865502103230919"
"3910","27471865","-7068561086887525665","1045035539652359261"
"3911","27471865","8986242563143777742","1045035539652359261"
"4066","27479177","-1626819451886873579","81381827473397441"
"4067","27479177","-1014147375867388215","-5752258315544787351"
"4068","27479177","-1626819451886873579","-5752258315544787351"
"4069","27479177","-1014147375867388215","8625468525995359811"
"4070","27479177","-1626819451886873579","3047741515900050204"
"4071","27479177","-1626819451886873579","115547740306875535"
"4072","27479177","-1014147375867388215","115547740306875535"
"4749","27763690","5510460828863833540","444650168935787706"
"4750","27763690","-910409836652376082","444650168935787706"
"4751","27763690","4496191920649739347","444650168935787706"
"4752","27763690","-1051670365943237645","444650168935787706"
"5470","27815572","2895123020470857315","-7488656495099306810"
"5540","27822100","-4619512107810359341","5451926608854927978"
"5649","27836865","3615815606399006717","-8050170111831616307"
"5650","27836865","1141301096042178844","-8050170111831616307"
"6606","27890255","4496191920649739347","-6364043058404228463"
"6607","27890255","-6240376816714276706","-6364043058404228463"
"7381","27973410","-3212785207850349084","7010990264781132397"
"7382","27973410","-3212785207850349084","6687961526262676296"
"8034","28042454","7674537802828838532","-4102671870734581127"
"8035","28042454","4351330949823413403","-4102671870734581127"
"8036","28042454","-1051670365943237645","-4102671870734581127"
"8037","28042454","6965825475489013928","-4102671870734581127"
"8038","28042454","-910409836652376082","5801184982512355304"
"8039","28042454","4496191920649739347","5801184982512355304"
"8040","28042454","5599653073255776911","5801184982512355304"
"8041","28042454","-1051670365943237645","8230827316986794479"
"8276","28066786","-3212785207850349084","-8152735276550230931"
"8277","28066786","4130327905760863618","-8152735276550230931"
"9507","26733610","375196400634877094","-7922718891041875472"
"9515","26744767","-4170182944360082494","3891549488622286472"
"9516","26744767","-1446149640127887716","5724101407039976256"
"9517","26744767","-1051670365943237645","3483465440305627661"
"9518","26744767","7796681219901118741","-3590256302644951316"
"9519","26744767","-4251845893617507481","6096077493310627138"
"9974","26858309","8507750539885563380","3804306689269536534"
"9975","26858309","4817139587086078689","3804306689269536534"
"9976","26858309","4817139587086078689","-8627475029164210323"
"9977","26858309","4817139587086078689","9100315485080262788"
"9978","26858309","4817139587086078689","2131645766712061527"
"10116","26893061","-9111931341780307576","-6390143014123480697"
"10117","26893061","4496191920649739347","-6390143014123480697"
"10118","26893061","9033695744972072993","-6390143014123480697"
"10119","26893061","-8188638720577279163","-6390143014123480697"
"10120","26893061","-2531875720891133112","-6390143014123480697"
"10455","26989080","375196400634877094","5536078391277167944"
"10456","26989080","375196400634877094","-6479177393439563032"
"10457","26989080","4977878176498985760","6054942937770642038"
"10585","27028870","9140514953477728134","-7216116364198123046"
"10586","27028870","9140514953477728134","-6083430759087918359"
"10663","27036042","4496191920649739347","-3681719467036514282"
"10664","27036042","4496191920649739347","-3681719467036514282"
